"objeto","registros","ultimaModif","usos"
"Account_Address__c","15200","2026-09-01","apex|flow|ui"
"Account_E_Commerce_Offer__c","0","","apex|flow"
"Air_Waybill_Line__c","0","","apex"
"Air_Waybill__c","0","","apex|flow|ui"
"Associated_Document__c","227592","2026-09-03","apex|flow|ui"
"Associated_Photo__c","0","","apex|ui"
"BOM_Relation__c","0","","apex"
"Barra_Logistica__c","3","2026-08-19","apex"
"CSH_Community__c","0","","apex|ui"
"CSH_Import_Export__c","0","","apex|ui"
"CSH_Shipment_Consolidation__c","0","","apex|ui"
"CSH_Shipment__c","0","","apex|ui"
"CSH_Shopping_Cart__c","0","","apex|ui"
"CSH_Supplier_Request__c","0","","apex|ui"
"CSH_Trade_Consolidation__c","0","","apex|ui"
"CSL_Credentials__c","3","2021-11-30","apex|ui"
"CSL_Self_Registration__c","0","","apex|ui"
"CSL_Shipment_RatioNA__c","0","",""
"CSL_Shipment_Ratio__c","0","",""
"Caja_Remolque__c","11189","2026-09-03","apex"
"Carrier_Evaluation__c","0","","apex"
"Carrier_Line_Load_Point__c","56151","2026-09-03","apex|flow|ui"
"Carta_Porte__c","117821","2026-09-03","apex|flow|ui"
"Catalog_Family__c","0","","apex"
"Catalogo_SAT__c","403588","2026-08-28","apex|flow"
"Certificacion_de_Proveedor__c","31","2024-10-30","flow|ui"
"ChatAccount__c","342","2026-09-01",""
"Chatter_Feed_Guest_User__c","0","","apex"
"Claim__c","0","","apex|flow|ui"
"Company_Plan__c","0","","apex|flow|ui"
"Company__c","2","2024-10-15","apex"
"Consolidated_Route__c","184","2026-09-02","apex|ui"
"Container_Type__c","124","2026-07-22","apex|ui"
"Country__c","239","2019-11-25","apex|ui"
"Cred_Cifid__c","0","",""
"Cuenta_Chat__c","354","2026-09-01",""
"Cuotas__c","3","2020-04-13",""
"Customer_Price_List__c","0","","apex|flow"
"Customer_Quote__c","191392","2026-09-03","apex|flow|ui"
"DISLine_Counter__c","1","2026-09-03","apex"
"DIS_Counter__c","1","2026-09-03","apex"
"Debit_Note__c","93150","2026-09-03","apex|flow|ui"
"Delivery_Zone__c","75443","2024-07-10","apex|ui"
"Direcci_n_de_Reparto__c","23","2026-08-06",""
"Direccion_RepartoSp__c","111","2025-04-23","apex"
"Disbursement_Line__c","209961","2026-09-03","apex|flow|ui"
"Discount_Rule__c","0","","apex"
"E_Commerce_Offer__c","0","","apex|flow"
"Encuestas_Enviadas__c","36468","2025-07-03","apex"
"Equivalencias__c","2","2023-04-04","apex"
"Evaluation_Criteria__c","0","","apex|ui"
"Event_Issues__c","0","","apex|ui"
"Event__c","0","","apex|ui"
"Family_Supplied__c","0","","apex"
"Fee_Offer__c","0","","apex|flow"
"Fee__c","100267","2026-09-03","apex|flow|ui"
"Field_History_Tracking__c","405357","2026-09-03","apex|flow"
"IE_Counter__c","1","2026-09-03","apex"
"INVLine_Counter__c","1","2026-09-03","apex"
"INV_Counter__c","1","2026-09-03","apex"
"Import_Export_Cargo_Line_Disbursement__c","0","","apex"
"Import_Export_Discount_Line__c","0","","apex|ui"
"Import_Export_Fee_Line__c","267838","2026-09-03","apex|flow|ui"
"Import_Export_Item_Line_Invoice__c","0","","apex|ui"
"Import_Export_Service_Line_Disbursement__c","0","","apex"
"Import_Export_Service_Line_Invoice__c","0","","apex|ui"
"Inventory_Entry__c","0","","apex|ui"
"Inventory_Exit__c","0","","apex|ui"
"Inventory_Trace__c","0","","ui"
"Invoice_Item_Line__c","0","","apex|ui"
"Invoice_Line__c","153194","2026-09-03","apex|ui"
"Invoice_Service_Line__c","122458","2026-09-03","apex|ui"
"Invoice__c","115939","2026-09-03","apex|flow|ui"
"Item_Historical_Data__c","0","","apex|ui"
"Item_List_Price__c","0","","apex|ui"
"Item_Pallet_Type__c","0","","apex"
"Item_Program__c","0","","apex"
"Items_to_Supply__c","0","","apex"
"Labor_Program__c","0","","apex|flow|ui"
"Location__c","35572","2026-08-19","apex|ui"
"Log_Aprobacion__c","773","2025-07-21","apex"
"Log_WS_Account__c","0","","apex"
"Log__c","0","","apex|ui"
"Material_Request__c","0","",""
"Meta_Global__c","4","2022-09-01","ui"
"Metas__c","878","2024-12-10","flow|ui"
"NEU_Factory__c","0","","apex|ui"
"Operadores__c","27440","2026-09-03","apex|flow|ui"
"P2G_Disponibilidad__c","68","2024-09-05","apex|ui"
"P2G_SCP_Patios__c","10","2024-10-24","flow"
"P2G_SCP_Ruta__c","21","2024-10-30","flow"
"P2G_token__c","1","2024-08-28","apex"
"Pallet_Container_Type__c","0","","apex"
"Pallet_Type__c","0","","apex|ui"
"Price_List__c","0","","apex|flow|ui"
"Product_Family__c","0","","apex|ui"
"Product_Item__c","0","","apex|ui"
"Production_Order__c","0","","apex|flow"
"Quote_Item_Line__c","190517","2026-09-03","apex|ui"
"Rejection_Rate__c","0","","apex|ui"
"Response__c","362997","2026-09-03","apex|flow|ui"
"Rol_Margen__c","11","2024-12-18","apex"
"Route_by_Account__c","575","2026-09-03","apex"
"SAP_Service_Type__c","73","2026-09-01","apex|ui"
"SCM_Activity__c","0","","apex"
"SCM_Contract__c","0","","apex|flow|ui"
"SCM_Rule_Applied__c","0","","apex"
"SCM_Rule__c","0","","apex"
"SCP_Equipment__c","0","","flow"
"Sales_Target__c","8","2019-11-23","apex|flow"
"Scheduler_Shipment_Services_Lines__c","0","","apex|ui"
"Service_Usage__c","17070","2026-08-26","apex"
"Ship_Service_Consol__c","0","","apex"
"Shipment_Consolidation_Data__c","186818","2026-09-03","apex|ui"
"Shipment_Disbursement__c","198775","2026-09-03","apex|flow|ui"
"Shipment_Fee_Line__c","284279","2026-09-03","apex|flow|ui"
"Shipment_Item_Line_Disbursement__c","0","","apex"
"Shipment_Line__c","140920","2026-09-03","apex|ui"
"Shipment_Program_Line__c","0","","apex|ui"
"Shipment_Program__c","0","","apex|flow|ui"
"Shipment_Service_Line_Disbursement__c","0","","apex|ui"
"Shipment_Stop__c","0","","apex|ui"
"Shipment_Track__c","0","","apex|ui"
"Shipment__c","186866","2026-09-03","apex|flow|ui"
"Shopping_Cart__c","0","","apex|flow|ui"
"Shopping_Cart_line__c","0","","apex|flow"
"Source_DB__c","0","","apex|flow|ui"
"Sourcing_Item__c","66873","2026-09-03","apex|flow|ui"
"State__c","134","2026-05-13","apex|ui"
"Status_Datetime__c","138481","2026-09-03","apex|flow"
"SubProducto__c","1182","2026-09-03","apex|flow|ui"
"Subfamily__c","0","","apex|ui"
"Supplier_Quote_Line__c","0","","apex|ui"
"Supplier_Quote_Order_Fee_Line__c","0","","apex|ui"
"Supplier_Quote__c","0","","apex|flow|ui"
"Supplier_Request_Line__c","0","","apex"
"Supplier_Request_RFP__c","0","","apex|ui"
"Supplier_to_Invite__c","0","","apex"
"Supply_Project__c","0","","apex|flow|ui"
"SurveyQuestionResponse__c","2815","2024-10-25","apex"
"SurveyTaker__c","1723","2024-10-25","apex"
"Survey_Question__c","12","2024-10-25","apex|ui"
"Survey__c","3","2022-10-24","apex|ui"
"TMS_OPERATIONS_NATIONAL__c","0","","flow"
"Technical_Evaluation__c","0","","apex"
"Traffic__c","212873","2026-09-03","apex|flow|ui"
"Transport_Packaging_Data__c","0","","apex|flow|ui"
"Transport_Packaging_Line__c","0","","apex"
"Truck_Position__c","0","","apex"
"Vehicle__c","23343","2026-09-03","apex|flow|ui"
"Vessel_Flight__c","1063","2023-12-06","apex|flow|ui"
"VinculacionDispoFolios__c","3","2024-06-26","apex"
"Warehouse_Exit_Order__c","0","","apex|ui"
"Warehouse_Storage_Bin__c","0","","apex|ui"
"Warehouse__c","13","2024-10-30","apex|flow|ui"
"Waybill_Consolidation__c","0","","apex"
"Waybill_Master__c","0","","apex"
"Waybill_Other_Charge__c","0","","apex"
"Work_Part__c","0","","flow"
"Workcell__c","0","",""
"Workorder__c","0","","flow"
"pallet_warehouse__c","1619","2026-02-04","apex|ui"
