"miembro","categoria","problema"
"Air_Waybill__c.Consignee_House_Alternative_Account__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF."
"Air_Waybill__c.Consignee_House_Alternative_Country__c","apex","This custom field is referenced elsewhere in salesforce.com. : Filtered Lookup. This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF. Th"
"Air_Waybill__c.Consignee_House_Alternative_Location__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF. This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Ma"
"Air_Waybill__c.Currency__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF. This custom field is referenced elsewhere in salesforce.com. : Apex Class - P2G_Tr"
"Air_Waybill__c.Shipper_Alternative_Account__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF."
"Air_Waybill__c.Total_Collect_House__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF."
"Air_Waybill__c.Total_Collect_House_SBR__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF."
"Air_Waybill__c.Total_Prepaid_House__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF."
"Air_Waybill__c.Total_Prepaid_House_SBR__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF."
"Air_Waybill__c.Total_Rate_Charge__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF."
"Air_Waybill__c.Total_Rate_Charge_House__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF."
"Air_Waybill__c.Total_Rate_Charge_Master__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Air_Waybills_PDF."
"Certificacion_de_Proveedor__c.Direccion_de_Patios__c","flow","This custom field is referenced elsewhere in salesforce.com. : Flow Version - 3014T000000Lgxe."
"Certificacion_de_Proveedor__c.Modelo_Promedio__c","flow","This custom field is referenced elsewhere in salesforce.com. : Flow Version - 3014T000000Lgxe."
"Certificacion_de_Proveedor__c.No_Unidades__c","flow","This custom field is referenced elsewhere in salesforce.com. : Flow Version - 3014T000000Lgxe."
"Certificacion_de_Proveedor__c.Ruta_negociada__c","flow","This custom field is referenced elsewhere in salesforce.com. : Flow Version - 3014T000000Lgxe."
"Certificacion_de_Proveedor__c.Tarifa__c","flow","This custom field is referenced elsewhere in salesforce.com. : Flow Version - 3014T000000Lgxe."
"Certificacion_de_Proveedor__c.Volumen__c","flow","This custom field is referenced elsewhere in salesforce.com. : Flow Version - 3014T000000Lgxe."
"Contact.Puesto__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - PAK_UpdateCustomerSAP. This custom field is referenced elsewhere in salesforce.com. : Apex Class - P2G_c"
"Debit_Note__c.Shipment_Number_10__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Debit_Note__c.Shipment_Number_6__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Debit_Note__c.Shipment_Number_7__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Debit_Note__c.Shipment_Number_8__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Debit_Note__c.Shipment_Number_9__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Debit_Note__c.Shipment_Status_Planner_10__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Debit_Note__c.Shipment_Status_Planner_6__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Debit_Note__c.Shipment_Status_Planner_7__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Debit_Note__c.Shipment_Status_Planner_8__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Debit_Note__c.Shipment_Status_Planner_9__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - APX_Debit_Note."
"Import_Export_Cargo_Line_Disbursement__c.Import_Export_Cargo_Line__c","otro","This object containing this lookup has a summary field in another object. Remove the summary usage and try again. : Import-Export Cargo Line Custom Fields: Total Amount Allocated O"
"Item_Program__c.Workcell__c","filtered-lookup","This custom field is referenced elsewhere in salesforce.com. : Filtered Lookup. This custom field is referenced elsewhere in salesforce.com. : Field Update - Over_Write_Item_Progra"
"OpportunityLineItem.PUERTO_DE_SALIDA_ARRIBO__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - P2G_loadProducts."
"Scheduler_Shipment_Services_Lines__c.CC_email__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_test_SchedulerReport. This custom field is referenced elsewhere in salesforce.com. : Apex Class - Pr"
"Shipment__c.ShipmentLineNoSap__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - PAK_SalesOrder. This custom field is referenced elsewhere in salesforce.com. : Apex Class - ShipmentTrig"
"Shipment__c.ShipmentLineSap__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - PAK_SalesOrder. This custom field is referenced elsewhere in salesforce.com. : Apex Class - ShipmentTrig"
"Shipment__c.Stopping_Time_D_Hours__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Ground_Track_Trace."
"Shipment_Fee_Line__c.New_Shipment_Name__c","flow","This custom field is referenced elsewhere in salesforce.com. : Flow Version - 301RQ00000XmmZ6. This custom field is referenced elsewhere in salesforce.com. : Flow Version - 301RQ00"
"State__c.State_Zone__c","process-builder","Can't delete this Custom Field Definition because it's referenced by the ""Zona_de_carga"" process version 2. Remove the reference from the process. : Open the process in the Process"
"Supplier_Quote__c.Number_Active_Lines__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_MD_PriceComparison."
"Supplier_Quote_Line__c.Gross_Buy_Amount__c","apex","This custom field is referenced elsewhere in salesforce.com. : Apex Class - NEU_Edit_Shipments_Program."
"Workorder__c.Workcell__c","filtered-lookup","This custom field is referenced elsewhere in salesforce.com. : Filtered Lookup. This custom field is referenced elsewhere in salesforce.com. : Custom Formula Field - Work_Part__c.W"
