"objeto","campo","veredicto","tipo","etiqueta","registrosConDato"
"Account","All_Quotes_Calc__c","sin-uso-total","Summary","All Quotes","calculado"
"Account","Anounid_cta__c","sin-uso-total","Number","AÃ±o de las Unidades (Promedio)","0"
"Account","Cantidad_de_cotizaciones__c","sin-uso-total","Summary","Cantidad de cotizaciones","calculado"
"Account","Code_Country__c","sin-uso-total","Text","Code Country","0"
"Account","Compra_de_mes__c","sin-uso-total","Checkbox","Compra de mes","formula"
"Account","Dias_transc__c","sin-uso-total","Number","Dias transcurridos","formula"
"Account","Ejecutivo_Servicio_Clientes__c","sin-uso-total","Lookup","Ejecutivo Servicio Clientes","0"
"Account","Id_Bdat__c","sin-uso-total","Text","Id Bdat","formula"
"Account","Indicador_Nombre_Cuenta2__c","sin-uso-total","Text","Indicador Nombre Cuenta (2)","formula"
"Account","Indicador_Nombre_Cuenta__c","sin-uso-total","Text","Indicador Nombre Cuenta","formula"
"Account","Last_Quote__c","sin-uso-total","Summary","Last Quote","calculado"
"Account","Lugbas_cta__c","sin-uso-total","Text","Lugar de Base(s)","0"
"Account","Mkt_Layout__c","sin-uso-total","Checkbox","Mkt Layout","formula"
"Account","OV_SAP__c","sin-uso-total","Lookup","OV SAP","0"
"Account","Otr_cta__c","sin-uso-total","Number","Otros","0"
"Account","Owner_Department__c","sin-uso-total","Text","Owner Department","formula"
"Account","Rollup_orders__c","sin-uso-total","Summary","Rollup orders","calculado"
"Account","Tot_Invoiced__c","sin-uso-total","Currency","Tot Invoiced","formula"
"Account","Total_Service_Potential__c","sin-uso-total","Summary","Total Service Potential","calculado"
"Account","Total_Vendido__c","sin-uso-total","Summary","Total Vendido","calculado"
"Account","Total_de_shipments_finished__c","sin-uso-total","Summary","Total de shipments finished","calculado"
"Account","Venta_Impak_Hist__c","sin-uso-total","Summary","Venta Impak Hist","calculado"
"Account_Address__c","ColoniaEspejo__c","sin-uso-total","Lookup","Colonia espejo","0"
"Account_Address__c","Folio_Origen_Destino__c","sin-uso-total","AutoNumber","Folio Origen Destino","sistema"
"Air_Waybill__c","Consignee_House_Alternative_Account__c","solo-consulta","Lookup","Consignee House Alternative Account","0"
"Air_Waybill__c","Consignee_House_Alternative_Country__c","solo-consulta","Lookup","Consignee House Alternative Country","0"
"Air_Waybill__c","Consignee_House_Alternative_Location__c","solo-consulta","Lookup","Consignee House Alternative Location","0"
"Air_Waybill__c","Currency__c","solo-consulta","Text","Currency","0"
"Air_Waybill__c","House_Executive_Counter__c","sin-uso-total","Text","House Executive Counter","0"
"Air_Waybill__c","House_Executive_Letter__c","sin-uso-total","Text","House Executive Letter","0"
"Air_Waybill__c","Payment__c","sin-uso-total","Picklist","Payment","0"
"Air_Waybill__c","Shipper_Alternative_Account__c","solo-consulta","Lookup","Shipper Alternative Account","0"
"Air_Waybill__c","Total_Collect_House_SBR__c","solo-consulta","Currency","Total Collect House SBR","formula"
"Air_Waybill__c","Total_Collect_House__c","solo-consulta","Currency","Total Collect House","formula"
"Air_Waybill__c","Total_Prepaid_House_SBR__c","solo-consulta","Currency","Total Prepaid House SBR","formula"
"Air_Waybill__c","Total_Prepaid_House__c","solo-consulta","Currency","Total Prepaid House","formula"
"Air_Waybill__c","Total_Rate_Charge_House__c","solo-consulta","Summary","Total Rate/Charge House","calculado"
"Air_Waybill__c","Total_Rate_Charge_Master__c","solo-consulta","Summary","Total Rate/Charge Master","calculado"
"Air_Waybill__c","Total_Rate_Charge__c","solo-consulta","Summary","Total Rate/Charge","calculado"
"Air_Waybill__c","Total_Service_Charges_House__c","sin-uso-total","Summary","Total Service Charges House","calculado"
"Air_Waybill__c","Total_Service_Charges_Master__c","sin-uso-total","Summary","Total Service Charges Master","calculado"
"Associated_Document__c","SP_Service__c","sin-uso-total","Text","SP Service","formula"
"Case","Functional_Leader__c","sin-uso-total","Checkbox","Functional Leader","0"
"Catalogo_SAT__c","Descripcion_CodigoPostal__c","sin-uso-total","Text","Descripcion CodigoPostal","0"
"Catalogo_SAT__c","IATA__c","sin-uso-total","Text","IATA","0"
"Catalogo_SAT__c","L_nea_F_rrea__c","sin-uso-total","Text","LÃ­nea FÃ©rrea","0"
"Catalogo_SAT__c","Recordtype_ID__c","sin-uso-total","Text","Recordtype ID","formula"
"Certificacion_de_Proveedor__c","Anos_de_experiencia__c","sin-uso-total","Number","AÃ±os de experiencia","formula"
"Certificacion_de_Proveedor__c","Direccion_de_Patios__c","sin-uso-total","Text","DirecciÃ³n de Patios","0"
"Certificacion_de_Proveedor__c","Modelo_Promedio__c","sin-uso-total","Text","Modelo (Promedio)","0"
"Certificacion_de_Proveedor__c","No_Unidades__c","sin-uso-total","Number","No. Unidades","0"
"Certificacion_de_Proveedor__c","Ruta_negociada__c","sin-uso-total","Picklist","Ruta negociada","0"
"Certificacion_de_Proveedor__c","Tarifa__c","sin-uso-total","Currency","Tarifa","0"
"Certificacion_de_Proveedor__c","Volumen__c","sin-uso-total","Number","Volumen","0"
"Certificacion_de_Proveedor__c","Website__c","sin-uso-total","Text","Website","formula"
"Contact","Puesto__c","solo-consulta","Text","Puesto","0"
"CSH_Import_Export__c","Use_Price_Lists_and_Dicounts__c","sin-uso-total","Checkbox","Use Price Lists and Dicounts","0"
"CSH_Shipment__c","Default_Freight_Mode_Pick_Ship__c","sin-uso-total","Text","Default Freight Mode Pick & Ship","0"
"CSH_Shopping_Cart__c","Field_Order_Type_Authorized__c","sin-uso-total","Text","Field Order Type Authorized","0"
"Customer_Quote__c","Account_Owner_Department__c","sin-uso-total","Text","Account Owner Department","formula"
"Customer_Quote__c","Account_origin_address_text__c","sin-uso-total","Text","Account origin address","formula"
"Customer_Quote__c","Ammount_Received__c","sin-uso-total","Currency","Ammount Received (OLD)","0"
"Customer_Quote__c","Annual_Number_Shipments__c","sin-uso-total","Number","Annual Number Shipments","0"
"Customer_Quote__c","ApprovedCount__c","sin-uso-total","Number","ApprovedCount","formula"
"Customer_Quote__c","Commercial_Status__c","sin-uso-total","Text","Commercial Status","formula"
"Customer_Quote__c","Copy_Services_Std_Margin__c","sin-uso-total","Percent","Copy Services Std Margin","formula"
"Customer_Quote__c","Date_Time_Shipped__c","sin-uso-total","DateTime","Date Time Shipped","formula"
"Customer_Quote__c","DeclinedCount__c","sin-uso-total","Number","DeclinedCount","formula"
"Customer_Quote__c","Declined_By__c","sin-uso-total","Text","Declined By","0"
"Customer_Quote__c","Email_Account_Owner__c","sin-uso-total","Text","Email Account Owner","formula"
"Customer_Quote__c","Folio_Mkt_del__c","sin-uso-total","Text","Folio Cliente Mkt","0"
"Customer_Quote__c","Hrs_sin_Aprobar__c","sin-uso-total","Number","Hrs sin Aprobar","formula"
"Customer_Quote__c","Insurance__c","sin-uso-total","Percent","% Insurance","formula"
"Customer_Quote__c","NUM_Total_Disbursements_Cargo__c","sin-uso-total","Summary","NUM Total Disbursements Cargo","calculado"
"Customer_Quote__c","NUM_Total_Disbursements_Service__c","sin-uso-total","Summary","NUM Total Disbursements Service","calculado"
"Customer_Quote__c","Owner_Deparment__c","sin-uso-total","Text","IE Owner Deparment","formula"
"Customer_Quote__c","Owner_Region__c","sin-uso-total","Text","Owner Region","formula"
"Customer_Quote__c","Region_Account_Owner__c","sin-uso-total","Text","Region Account Owner","formula"
"Customer_Quote__c","Rol_de_Ventas__c","sin-uso-total","Text","Rol de Ventas","formula"
"Customer_Quote__c","SP_Cerrado__c","sin-uso-total","Checkbox","SP Cerrado","formula"
"Customer_Quote__c","Service_Type_St__c","sin-uso-total","Picklist","Broker Service Type","0"
"Customer_Quote__c","Servicio_text__c","sin-uso-total","Text","Servicio (text)","formula"
"Customer_Quote__c","TT_Responded__c","sin-uso-total","Number","TT Responded","formula"
"Customer_Quote__c","Tarifarios_ServLines__c","sin-uso-total","Summary","Tarifarios ServLines","calculado"
"Customer_Quote__c","Time_Response_Hrs__c","sin-uso-total","Number","Time Response (Hrs)","formula"
"Customer_Quote__c","Tipo_PagoAcc__c","sin-uso-total","Text","Tipo Pago","formula"
"Customer_Quote__c","Total_Order_Amount_Incl_VAT__c","sin-uso-total","Number","Total Order Amount (Incl VAT)","formula"
"Customer_Quote__c","Total_Services_Std_Buy_Amount_num_imp__c","sin-uso-total","Summary","Total Services Std. Buy Amount (num)imp","calculado"
"Customer_Quote__c","Total_Shipment_Sell_Amount__c","sin-uso-total","Currency","Total Shipment Sell Amount","formula"
"Customer_Quote__c","Total_Time_Pricing__c","sin-uso-total","Number","Total Time Pricing","formula"
"Customer_Quote__c","Truck_Vessel_Flight_Arrived__c","sin-uso-total","Checkbox","Vessel Arrived","formula"
"Customer_Quote__c","URLQuote__c","sin-uso-total","Text","URL","formula"
"Customer_Quote__c","User_Create_Role__c","sin-uso-total","Text","User Create (Role)","formula"
"Customer_Quote__c","Warning_LTL__c","sin-uso-total","Text","Warning LTL","formula"
"Customer_Quote__c","Workplace_Account_Owner__c","sin-uso-total","Text","Workplace Account Owner","formula"
"Customer_Quote__c","Zona_de_vendedor__c","sin-uso-total","Text","Zona de vendedor","formula"
"Customer_Quote__c","Zone_State__c","sin-uso-total","Text","Zone","0"
"Debit_Note__c","Folio_y_Flex_ID__c","sin-uso-total","Text","Folio y Flex ID","formula"
